"tazakorat"
30
27
14
17
61
21
37
14
30
54
40
90
32
37
11
91
22
6
80
166
4
29
103
21
32
106
27
122
28
21
8
63
38
67
26
41
13
35
38
43
34
8
3
36
202
28
98
24
72
19
24
78
13
58
30
11
49
43
154
658
8
21
27
56
77
21
12
158
17
345
13
4
12
22
75
5
260
34
27
69
87
70
18
29
95
14
7
235
1
71
264
35
21
67
21
3
30
16
8
29
30
40
120
197
17
4
30
46
460
46
13
46
88
44
2
15
44
50
7
116
45
80
2
9
39
35
17
8
25
34
44
9
12
58
23
60
15
179
54
48
51
28
17
123
158
69
12
58
31
44
53
7
42
41
32
310
39
62
148
23
30
53
36
189
26
10
30
13
24
67
56
17
17
36
29
117
60
95
50
36
46
4
95
68
14
4
12
26
21
46
230
33
18
86
124
26
89
57
32
54
49
17
42
13
21
32
38
21
113
54
81
74
31
32
27
15
51
24
25
23
33
12
107
62
69
81
13
21
18
23
44
41
64
70
83
44
71
15
86
34
34
56
10
11
15
18
45
92
57
83
13
3
8
16
83
30
26
56
54
41
122
32
106
77
50
197
265
111
77
54
34
51
100
147
85
59
24
78
81
90
10
198
15
28
16
46
37
3
