"tedadetarh"
46
46
43
40
41
12
48
1
62
42
52
55
61
48
17
135
52
28
52
56
34
49
38
22
50
48
34
104
59
37
59
107
75
55
51
36
52
41
38
54
51
46
39
49
140
59
87
22
62
64
63
61
22
63
77
83
97
114
121
139
66
68
49
83
52
57
29
90
61
114
36
45
11
66
43
63
58
115
78
58
65
87
85
52
58
34
77
26
61
19
95
71
51
39
77
74
35
38
59
41
37
64
69
35
87
50
49
66
43
104
46
51
46
48
45
46
39
38
38
38
46
35
57
51
34
63
45
49
55
73
65
70
68
48
83
73
33
51
91
94
47
69
45
67
96
72
64
44
58
52
56
64
41
60
62
73
65
73
61
50
59
63
59
48
57
44
42
60
34
48
70
61
47
30
75
40
112
58
55
45
88
56
62
90
39
53
63
51
55
41
85
56
29
32
53
47
59
41
51
37
91
49
43
40
66
67
56
34
39
61
45
49
69
58
54
40
75
43
52
38
18
43
42
33
93
69
47
104
29
47
59
43
39
54
72
50
73
66
65
49
34
35
74
70
43
53
66
49
68
75
60
86
52
33
48
73
107
52
54
44
45
70
59
50
78
117
80
85
105
46
57
43
68
40
77
69
63
53
39
107
65
81
44
51
49
73
34
25
48
20
