"mizan"
0
124
0
0
188
108
136
0
0
48
0
0
0
0
503
0
0
0
207
0
107
68
155
383
98
0
163
33
190
388
69
32
152
0
0
0
0
0
0
433
0
170
131
0
504
120
32
629
0
35
147
585
31
182
138
0
95
71
70
0
142
108
135
369
68
296
0
0
0
628
1000
0
352
41
0
32
163
502
185
1088
68
302
32
0
0
304
408
329
520
464
105
1674
0
80
99
99
0
0
102
0
160
80
143
0
109
78
0
31
33
749
218
1205
513
64
198
252
51
1153
0
0
164
0
40
396
642
233
0
35
0
114
500
0
286
268
72
39
166
138
57
0
0
525
81
0
78
0
0
170
31
1400
0
39
273
0
290
33
72
70
178
197
238
213
315
0
548
31
93
415
34
47
0
0
0
690
33
32
365
32
69
0
135
0
268
183
470
0
0
35
200
151
79
81
0
0
1123
151
42
74
0
0
172
249
61
103
0
0
0
336
0
1157
131
281
0
383
0
798
69
0
1020
199
53
36
0
0
216
0
218
39
237
0
126
0
165
419
0
67
34
416
197
150
659
0
67
138
45
153
76
67
85
53
0
435
0
0
58
0
39
33
148
123
38
228
32
0
71
102
238
180
138
227
546
105
73
70
137
32
183
282
127
57
315
47
42
61
76
0
396
0
