"tedadesoal"
0
0
0
10
3
0
5
0
44
69
1
17
1
1
0
18
0
0
0
34
0
1
40
0
5
0
9
52
5
10
0
3
3
40
12
0
15
1
35
15
0
10
8
11
0
1
15
8
2
23
12
17
6
7
5
0
16
2
45
135
10
6
17
23
40
1
4
52
12
10
5
0
0
1
18
25
0
71
16
0
34
18
24
3
10
6
7
4
9
0
17
62
12
0
25
39
0
2
1
14
3
4
17
0
22
4
0
2
1
70
0
1
0
3
0
0
0
0
4
2
38
28
10
1
0
3
7
2
1
5
3
17
1
4
4
17
31
12
31
2
39
5
12
1
29
13
8
3
5
4
22
27
6
6
3
0
104
6
15
42
4
0
22
5
42
4
10
24
6
0
16
22
2
3
9
3
15
7
34
11
0
22
0
10
8
0
0
1
15
0
6
27
0
8
31
22
2
0
1
1
1
2
12
11
1
1
3
10
19
16
10
60
16
19
4
7
8
5
16
0
6
0
0
4
9
0
1
7
12
5
15
30
22
30
15
7
17
0
1
8
5
0
5
5
0
0
6
0
6
19
0
14
0
0
0
8
12
1
0
33
25
2
8
7
13
14
21
19
23
20
8
5
1
3
41
64
6
4
1
14
13
14
5
29
10
6
12
5
19
1
