"notgh"
2
0
3
3
2
1
9
0
3
3
5
11
4
2
0
8
0
2
7
3
0
3
4
1
2
6
8
4
2
2
2
2
2
2
3
2
1
0
7
1
2
4
5
3
1
0
9
2
2
3
6
6
0
6
5
5
2
5
9
16
4
11
2
12
4
3
5
5
4
7
3
3
0
4
5
3
8
12
6
3
2
2
6
0
3
2
3
2
6
5
6
3
2
5
7
9
0
3
2
3
5
3
2
2
6
1
4
0
2
10
7
3
7
6
3
2
3
4
4
3
1
2
4
3
2
2
1
5
0
2
4
4
4
4
8
3
3
4
2
2
6
3
7
6
11
4
6
5
8
3
5
4
5
2
5
6
4
3
6
2
2
3
3
5
2
6
2
2
4
2
6
6
2
2
5
3
4
7
4
4
7
4
2
9
2
4
4
3
2
3
3
8
4
3
5
3
3
3
1
2
7
3
1
2
3
5
7
6
0
8
4
1
3
2
3
4
8
2
4
6
3
2
2
2
9
5
5
4
2
4
3
5
2
5
8
4
5
9
3
3
2
4
2
7
3
3
2
2
4
4
3
9
3
0
2
4
6
3
3
7
3
3
3
2
5
13
4
6
5
4
2
5
3
4
7
5
5
5
3
8
7
4
3
3
7
4
1
2
0
4
