"adamehuzur"
135
0
1913
90
135
0
0
0
954
293
90
90
45
90
0
90
616
280
180
180
315
1038
270
963
0
1973
514
454
135
1406
45
614
135
244
45
764
270
302
1264
749
45
1575
180
315
0
90
518
485
45
270
0
620
135
1681
344
0
0
225
135
0
1053
223
315
0
680
225
631
334
347
3548
135
0
1044
0
1074
225
833
0
0
665
833
540
456
480
470
0
660
315
180
738
1071
45
494
2450
675
45
244
469
719
1672
1156
383
135
45
45
334
0
0
225
225
764
0
45
226
404
45
334
615
819
334
919
2914
616
765
666
315
681
45
469
90
684
1275
135
135
315
469
938
1193
783
334
1124
235
270
865
0
668
1277
270
781
270
180
565
828
629
180
135
974
45
302
360
0
899
604
180
0
45
135
334
601
0
0
415
928
334
334
225
289
1026
1088
338
738
608
0
90
2505
494
225
779
180
855
624
608
225
1236
270
347
2009
1659
45
2526
135
0
0
1131
135
255
45
135
0
45
345
1544
280
180
668
289
135
2017
360
180
694
225
270
135
0
45
90
45
1229
45
90
270
435
315
584
334
295
0
738
90
321
1499
45
919
936
1656
539
1040
379
90
90
0
559
482
1434
45
270
1143
595
777
1631
270
854
403
595
884
648
432
405
2137
404
0
539
450
729
180
480
274
582
45
135
325
2006
989
675
289
449
90
1490
804
