"tazakorat"
30
27
14
61
24
40
15
31
54
40
90
32
38
13
93
22
6
81
166
4
30
103
21
32
106
28
122
21
8
63
41
67
28
42
13
35
40
43
34
8
3
38
202
28
98
24
72
21
24
79
15
61
31
11
49
45
157
662
8
23
27
59
77
1
12
158
17
348
13
4
12
22
76
5
263
34
28
72
87
72
17
30
93
14
7
235
1
71
265
35
21
21
3
30
16
8
29
30
41
120
200
18
4
30
48
462
46
49
88
44
2
15
44
50
7
116
46
80
9
35
35
17
12
25
34
44
9
12
60
23
60
15
179
54
48
51
28
19
126
158
69
12
58
31
44
53
7
41
45
32
310
39
62
148
23
30
53
36
189
26
10
30
13
24
68
56
17
17
36
29
117
58
95
51
36
48
4
97
68
14
4
12
26
21
49
230
33
18
89
124
26
89
57
32
54
49
17
42
13
21
34
41
21
113
54
81
74
31
32
27
15
51
24
25
23
33
12
107
64
69
82
13
23
18
23
44
41
68
70
83
71
15
86
34
34
59
10
11
15
18
47
92
57
83
13
3
8
16
83
30
26
58
55
41
124
32
108
87
50
199
267
111
77
54
34
51
100
147
85
1
24
79
81
90
10
198
15
28
28
46
40
3
